,Hate,HD,CV,VO
4,0.0971,0.0959,0.0112,0.0912
15,0.2201,0.2189,0.0177,0.1018
10,0.0969,0.0955,0.0097,0.0639
8,0.1454,0.1451,0.013,0.086
13,0.1717,0.1691,0.0132,0.0907
9,0.0944,0.0929,0.0156,0.0453
17,0.0921,0.0905,0.0146,0.0422
16,0.0939,0.0903,0.0138,0.0767
3,0.1339,0.1295,0.0175,0.0563
14,0.3012,0.3071,0.0375,0.2056
11,0.1582,0.1542,0.0134,0.0898
0,0.4039,0.4055,0.016,0.2124
6,0.1491,0.1429,0.0231,0.0567
7,0.1935,0.1837,0.0214,0.152
12,0.1093,0.1034,0.0155,0.1088
1,0.2597,0.2552,0.0203,0.1806
5,0.1266,0.1213,0.0179,0.1418
2,0.1131,0.106,0.0155,0.1189
